iteration,action,price,balance,btc_balance,timestamp
1,buy,106276.6328125,9499.999999999998,0.0893893582116071,2024-12-17 19:42:00+00:00
2,buy,106234.0703125,9496.195365441117,0.0893893582116071,2024-12-17 19:43:00+00:00
3,buy,106304.2421875,9502.467984311872,0.0893893582116071,2024-12-17 19:45:00+00:00
4,hold,106279.546875,9500.260486176663,0.0893893582116071,2024-12-17 19:46:00+00:00
5,hold,106323.0625,9504.15031996759,0.0893893582116071,2024-12-17 19:48:00+00:00
6,hold,106288.6171875,9501.071275589817,0.0893893582116071,2024-12-17 19:49:00+00:00
7,hold,106444.6953125,9515.022999014438,0.0893893582116071,2024-12-17 19:51:00+00:00
8,hold,106466.2265625,9516.947663633431,0.0893893582116071,2024-12-17 19:52:00+00:00
9,hold,106377.359375,9509.003882776735,0.0893893582116071,2024-12-17 19:54:00+00:00
10,hold,106445.9609375,9515.136132420923,0.0893893582116071,2024-12-17 19:55:00+00:00
11,hold,106479.4765625,9518.132072629734,0.0893893582116071,2024-12-17 19:57:00+00:00
12,hold,106493.6875,9519.402379212444,0.0893893582116071,2024-12-17 19:58:00+00:00
13,hold,106472.3984375,9517.499363578643,0.0893893582116071,2024-12-17 20:00:00+00:00
14,hold,106535.65625,9523.153938839889,0.0893893582116071,2024-12-17 20:01:00+00:00
15,hold,106521.890625,9521.923438455757,0.0893893582116071,2024-12-17 20:03:00+00:00
16,hold,106512.890625,9521.118934231852,0.0893893582116071,2024-12-17 20:04:00+00:00
17,hold,106410.0703125,9511.927892486361,0.0893893582116071,2024-12-17 20:06:00+00:00
18,hold,106329.1328125,9504.692941306108,0.0893893582116071,2024-12-17 20:07:00+00:00
19,hold,106185.8125,9491.881630553047,0.0893893582116071,2024-12-17 20:08:00+00:00
20,hold,106180.8984375,9491.44236565996,0.0893893582116071,2024-12-17 20:09:00+00:00
21,hold,106219.2578125,9494.871285572608,0.0893893582116071,2024-12-17 20:10:00+00:00
22,hold,106195.34375,9492.7336228735,0.0893893582116071,2024-12-17 20:12:00+00:00
23,hold,106187.890625,9492.06739281308,0.0893893582116071,2024-12-17 20:13:00+00:00
24,hold,106191.5,9492.390032527876,0.0893893582116071,2024-12-17 20:15:00+00:00
25,hold,106162.171875,9489.768410256574,0.0893893582116071,2024-12-17 20:16:00+00:00
26,hold,106181.6328125,9491.508010969896,0.0893893582116071,2024-12-17 20:18:00+00:00
27,hold,106248.453125,9497.48103581977,0.0893893582116071,2024-12-17 20:19:00+00:00
28,hold,106251.34375,9497.73942693335,0.0893893582116071,2024-12-17 20:20:00+00:00
29,hold,106248.1640625,9497.455196708412,0.0893893582116071,2024-12-17 20:21:00+00:00
30,hold,106315.984375,9503.517610916499,0.0893893582116071,2024-12-17 20:22:00+00:00
31,hold,106309.9296875,9502.9763862867,0.0893893582116071,2024-12-17 20:24:00+00:00
32,hold,106237.3671875,9496.490070981472,0.0893893582116071,2024-12-17 20:25:00+00:00
33,hold,106304.0234375,9502.448430389764,0.0893893582116071,2024-12-17 20:27:00+00:00
34,hold,106337.0390625,9505.399675919469,0.0893893582116071,2024-12-17 20:28:00+00:00
35,hold,106345.75,9506.178341032015,0.0893893582116071,2024-12-17 20:30:00+00:00
36,hold,106444.0859375,9514.968527374276,0.0893893582116071,2024-12-17 20:31:00+00:00
37,hold,106404.765625,9511.453709875223,0.0893893582116071,2024-12-17 20:32:00+00:00
38,hold,106416.9609375,9512.543841032788,0.0893893582116071,2024-12-17 20:33:00+00:00
39,hold,106408.09375,9511.75120883302,0.0893893582116071,2024-12-17 20:34:00+00:00
40,hold,106668.3359375,9535.01409095323,0.0893893582116071,2024-12-17 20:36:00+00:00
41,hold,106706.625,9538.436725676629,0.0893893582116071,2024-12-17 20:37:00+00:00
42,hold,106716.8359375,9539.349474826493,0.0893893582116071,2024-12-17 20:39:00+00:00
43,hold,106695.390625,9537.43249210547,0.0893893582116071,2024-12-17 20:40:00+00:00
44,buy,106679.2734375,9535.991787058669,0.0893893582116071,2024-12-17 20:42:00+00:00
45,hold,106736.953125,9541.14773730614,0.0893893582116071,2024-12-17 20:43:00+00:00
46,hold,106763.3203125,9543.50468327461,0.0893893582116071,2024-12-17 20:45:00+00:00
47,hold,106733.6171875,9540.849539993982,0.0893893582116071,2024-12-17 20:46:00+00:00
48,hold,106678.5234375,9535.92474504001,0.0893893582116071,2024-12-17 20:48:00+00:00
49,hold,106745.3125,9541.89497647244,0.0893893582116071,2024-12-17 20:49:00+00:00
50,hold,106728.0546875,9540.35231168893,0.0893893582116071,2024-12-17 20:51:00+00:00
51,hold,106736.359375,9541.094662374702,0.0893893582116071,2024-12-17 20:52:00+00:00
52,hold,106846.2734375,9550.919809880008,0.0893893582116071,2024-12-17 20:54:00+00:00
53,hold,106862.28125,9552.350737965755,0.0893893582116071,2024-12-17 20:55:00+00:00
54,hold,106795.125,9546.347683878355,0.0893893582116071,2024-12-17 20:57:00+00:00
55,hold,106806.4609375,9547.360996056208,0.0893893582116071,2024-12-17 20:58:00+00:00
56,hold,106686.1171875,9536.60354547893,0.0893893582116071,2024-12-17 21:00:00+00:00
57,hold,106676.21875,9535.718730503508,0.0893893582116071,2024-12-17 21:01:00+00:00
58,hold,106614.84375,9530.23245864327,0.0893893582116071,2024-12-17 21:02:00+00:00
59,hold,106597.0859375,9528.645099180652,0.0893893582116071,2024-12-17 21:03:00+00:00
60,hold,106496.53125,9519.656580199859,0.0893893582116071,2024-12-17 21:04:00+00:00
61,hold,106476.1875,9517.838065443742,0.0893893582116071,2024-12-17 21:06:00+00:00
62,hold,106480.9765625,9518.266156667052,0.0893893582116071,2024-12-17 21:07:00+00:00
63,hold,106532.84375,9522.902531269918,0.0893893582116071,2024-12-17 21:08:00+00:00
64,hold,106515.921875,9521.38989572393,0.0893893582116071,2024-12-17 21:09:00+00:00
65,hold,106517.625,9521.542136974635,0.0893893582116071,2024-12-17 21:10:00+00:00
66,hold,106530.875,9522.72654597094,0.0893893582116071,2024-12-17 21:12:00+00:00
67,hold,106608.0234375,9529.622795286092,0.0893893582116071,2024-12-17 21:13:00+00:00
68,hold,106660.203125,9534.2871040634,0.0893893582116071,2024-12-17 21:15:00+00:00
69,hold,106672.8359375,9535.416343065182,0.0893893582116071,2024-12-17 21:16:00+00:00
70,hold,106641.7421875,9532.63689270829,0.0893893582116071,2024-12-17 21:18:00+00:00
71,hold,106670.21875,9535.182394354237,0.0893893582116071,2024-12-17 21:19:00+00:00
72,hold,106615.3984375,9530.282041802902,0.0893893582116071,2024-12-17 21:20:00+00:00
73,hold,106663.703125,9534.59996681714,0.0893893582116071,2024-12-17 21:21:00+00:00
74,hold,106715.8203125,9539.258688759559,0.0893893582116071,2024-12-17 21:22:00+00:00
75,hold,106770.8515625,9544.177896878642,0.0893893582116071,2024-12-17 21:23:00+00:00
76,hold,106701.859375,9538.010729516402,0.0893893582116071,2024-12-17 21:24:00+00:00
77,hold,106654.21875,9533.752164622852,0.0893893582116071,2024-12-17 21:25:00+00:00
78,hold,106627.34375,9531.349825620915,0.0893893582116071,2024-12-17 21:27:00+00:00
79,hold,106626.1171875,9531.240183986234,0.0893893582116071,2024-12-17 21:28:00+00:00
